Name,ParentAreaEffectForSkin,FileName,OwnExportName,BlueExportName,RedExportName,NeutralExportName,Layer,ExportNameTop,ExportNameTopRed,ExportNameObject,Effect,LoopingEffect,AllowEffectInterrupt,ServerControlsFrame,Scale,TimeMs,Radius,Damage,CustomValue,Type,IsPersonal,BulletExplosionBullet,BulletExplosionBulletDistance,BulletExplosionItem,DestroysEnvironment,PushbackStrength,PushbackStrengthSelf,PushbackDeadzone,CanStopGrapple,FreezeStrength,FreezeTicks,ShouldShowEvenIfOutsideScreen,SameAreaEffectCanNotDamageMs,DontShowToEnemy,RequireLineOfSight,ChainAreaEffect,SkinnedCustomValue
MechanicSlowArea,,sc/effects.sc,,,,,GroundHigh,,,,gadget_jessie_spark,,,,255,1000,1300,,,Slow,,,,,,,,,,350,60,,,,,,
LolaGadgetDamage,,sc/effects.sc,,,,,GroundHigh,,,,,,,,255,1000,100,1000,,Damage,true,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HookDudePushback,,sc/effects.sc,,,,,GroundHigh,,,,gadget_gene_push,,,,235,700,1200,,,Pushback,,,,,,150,,,true,,,,,,,,
ClusterBombDashMine,,sc/effects.sc,,,,,GroundHigh,,,,tick_def_atk1_explode,,,,100,700,800,700,1,BulletExplosion,,,0,ClusterMine,,,,,,,,,,,,,
MinigunDudeTowerBurstHeal,,sc/effects.sc,,,,,GroundHigh,,,,gadget_pam_healburst,,,,125,250,1000,-1200,,Heal,,,,,,,,,,,,,,,,,
WhirlwindTrail,,sc/effects.sc,,,,,GroundHigh,,,,gadget_carl_hottrail,,,,28,3900,300,300,,Dot,,,,,,,,,,,,,,,,,
DarrylPushback,,sc/effects.sc,,,,,GroundHigh,,,,gadget_emz_push,,,,100,700,800,500,,Damage,,,,,,-175,,,,,,,,,,,
MummyAccessoryPushback,,sc/effects.sc,,,,,GroundHigh,,,,gadget_emz_push,,,,100,700,800,500,,Damage,,,,,,100,,,,,,,,,,,
PocoRegenArea,,sc/effects.sc,,,,,GroundHigh,,,,gadget_poco_heal,,,,125,250,1000,-400,100,HealRegen,,,,,,,,,,,,,,,,,
UndertakerSwingDamage,,sc/effects.sc,,,,,GroundHigh,,,,gadget_mortis_shovel,,,,100,300,1000,1300,,Damage,,,,,,,,,,,,,,,true,,
BeeSniperSlowArea,,sc/effects.sc,,,,,GroundHigh,,,,,gadget_bea_honeypot,,,100,600000,1200,,,Slow,,,,,,,,,,350,21,,,,,,
BowDudeSuperChargeArea,,sc/effects_brawler.sc,gadget_bo_totem_base,gadget_bo_totem_base,gadget_bo_totem_base_red,,GroundHigh,,,,,gadget_bo_totem,,,155,600000,800,,200,ChargeSuper,,,,,,,,,,,,,,,,,
DrillerReflectArea,,sc/effects.sc,,,,,GroundHigh,,,,driller_def_sp1,,,,100,500,1200,0,,Damage,,,,,,,,,,,,,,,,,
WallyExplosionBig,,sc/effects.sc,,,,,GroundHigh,,,,amber_def_ulti_oil_burning,,,,100,700,400,1008,,Damage,,,,,,,150,,,,,,,,,,
Sprout_002_sp1,WallyExplosionBig,sc/effects.sc,,,,,GroundHigh,,,,sprout_002_sp1_explosion,,,,200,700,750,,,Damage,,,,,,,150,,,,,,,,,,
ControllerUltiExplosion,,sc/effects_brawler.sc,,,,,GroundHigh,,,,explosion_tnt_dude_ulti,,,,100,700,500,,,Damage,,,,,true,150,,,,,,,,,,,
BossTownCrushAoEArea,,sc/effects_brawler.sc,,,,,GroundHigh,,,,boss_tc_attack_area,,,,100,500,1000,1200,40,Stun,,,,,,,,,,,,,,,,,
BossRaceBossRocketExplosion,,sc/effects.sc,range450_blue,range450_blue,range450_red,,GroundHigh,,,,raidboss_rocket_explosion,,,,185,700,1000,2000,,Damage,,,,,true,150,250,,,,,,,,,,
BossRaceBossRocketBurn,,sc/effects.sc,brock_ground_fire_red,brock_ground_fire_red,brock_ground_fire_red,,GroundHigh,,,,burning_ground_raid_boss,,,,100,6900,1000,,,Dot,,,,,,,,,,,,true,,,,,
BarkeepHealingArea,,sc/effects.sc,,,,,GroundHigh,,,,gadget_barley_heal,,,,160,4500,800,,,Hot,,,,,,,,,,350,21,,1000,,,,
Nope,,sc/effects.sc,,,,,GroundHigh,,,,gadget_barley_slow,,,,100,4000,1000,,,Slow,,,,,,,,,,350,21,,,,,,
Nope2,,sc/effects.sc,,,,,GroundHigh,,,,gadget_barley_slow,,,,100,4000,1000,,,Slow,,,,,,,,,,350,21,,,,,,
BullSlowArea,,sc/effects.sc,,,,,GroundHigh,,,,gadget_bull_stomp,,,,200,1000,900,,,Slow,,,,,,,,,,350,30,,,,,,
SpeedyRewindArea,,sc/effects.sc,,,,,GroundHigh,,,,gadget_max_sneaker,,,,50,3000,200,100,,Effect,,,,,,,,,,,,,,,,,
BarrelBotSlowArea,,sc/effects.sc,,,,,GroundHigh,,,,gadget_darryl_slow,gadget_darryl_area,,,150,4000,700,,,Slow,,,,,,,,,,350,20,,,,,,
BrockAttackAreaGadget,,sc/effects.sc,,,,,GroundHigh,,,,brock_def_explosion_blue,,,,70,700,600,,,Damage,,,,,true,,,,,,,,,,,,
TeleportTileLeave,,sc/effects.sc,,,,,GroundHigh,,,,teleport_tile_leave,,,,70,700,300,,,Effect,,,,,,,,,,,,,,,,,
TeleportTileArrive,,sc/effects.sc,,,,,GroundHigh,,,,teleport_tile_arrive,,,,70,700,300,,,Effect,,,,,,,,,,,,,,,,,
EnragerUltiSpeed,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,1000,500,200,50,SpeedBuff,true,,,,,,,,,,,,,,,,
EnragerStarPowerDamage,,sc/effects.sc,,,,,GroundHigh,,,,edgar_def_ulti_sp,,,,133,500,900,1000,,Damage,,,,,,,,,,,,,,,,,
Nothing,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,1000,500,200,50,Effect,true,,,,,,,,,,,,,,,,
TickGadgetExplosion,,sc/effects_brawler.sc,,,,,GroundHigh,,,,explosion_tnt_dude_ulti,,,,165,700,800,1000,,Damage,,,,,,150,250,,,,,,,,,,
StickyBombItemArea,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,1,700,,1,BulletExplosion,,,0,StickyBomb,,,,,,,,,,,,,
StickyBombItemUltiArea,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,1,700,,1,BulletExplosion,,,0,StickyBombUlti,,,,,,,,,,,,,
StickyBombExplosion,,sc/effects.sc,,,,,GroundHigh,,,,sticky_def_atk_explode,,,,150,700,800,,,Damage,,,,,,,,,,,,,,,,,
Squeak003BombExplosion,StickyBombExplosion,sc/effects.sc,,,,,GroundHigh,,,,squeak_003_atk_explode,,,,150,700,800,,,Damage,,,,,,,,,,,,,,,,,
Squeak004BombExplosion,StickyBombExplosion,sc/effects.sc,,,,,GroundHigh,,,,squeak_004_atk_explode,,,,150,700,800,,,Damage,,,,,,,,,,,,,,,,,
StickyBombClusterExplosion,,sc/effects.sc,,,,,GroundHigh,,,,sticky_def_atk_explode,,,,100,700,,,6,BulletExplosion,,StickyBombUltiProjectile2,20,,,,,,,,,,,,,,
StickyBombUltiExplosion,,sc/effects.sc,,,,,GroundHigh,,,,sticky_def_ulti_explode,,,,150,700,400,,,Damage,,,,,,,,,,,,,,,,,
Squeak003ClusterExplosion,StickyBombClusterExplosion,sc/effects.sc,,,,,GroundHigh,,,,squeak_003_ulti_explode,,,,100,700,,,6,BulletExplosion,,Squeak003UltiProjectile2,20,,,,,,,,,,,,,,
Squeak003UltiExplosion,StickyBombUltiExplosion,sc/effects.sc,,,,,GroundHigh,,,,squeak_003_ulti_explode,,,,150,700,400,,,Damage,,,,,,,,,,,,,,,,,
Squeak004ClusterExplosion,StickyBombClusterExplosion,sc/effects.sc,,,,,GroundHigh,,,,squeak_004_ulti_explode,,,,100,700,,,6,BulletExplosion,,Squeak004UltiProjectile2,20,,,,,,,,,,,,,,
Squeak004UltiExplosion,StickyBombUltiExplosion,sc/effects.sc,,,,,GroundHigh,,,,squeak_004_ulti_explode,,,,150,700,400,,,Damage,,,,,,,,,,,,,,,,,
VolleyBallTargetOccupied,,sc/effects_brawler.sc,ruffs_def_ulti_target,mode_valley_target_taken_blue,mode_valley_target_taken_red,,GroundHigh,,,,,,,,100,600000,1000,,,Effect,,,,,,,,,,,,true,,,,,
VolleyBallTarget,,sc/effects_brawler.sc,mode_valley_target,mode_valley_target,mode_valley_target,,GroundHigh,,,,,,,,100,600000,1000,,,Effect,,,,,,,,,,,,true,,,,,
VolleyBallDistanceIndicator,,sc/effects_brawler.sc,mode_valley_target_indicator,mode_valley_target_indicator,mode_valley_target_indicator,,GroundHigh,,,,,,,,250,600000,1000,,,Effect,,,,,,,,,,,,true,,,,,
VolleyBallHit,,sc/effects_brawler.sc,,,,,GroundHigh,,,,mode_valley_hit,,,,100,700,800,,,Effect,,,,,true,150,250,,,,,,,,,,
BasketBallGroundIndicator,,sc/effects_brawler.sc,ruffs_def_ulti_target,ruffs_def_ulti_target,ruffs_def_ulti_target,,GroundHigh,,,,,,,,40,600000,1000,,,Effect,,,,,,,,,,,,true,,,,,
BasketBallRimHit,,sc/effects_brawler.sc,,,,,GroundHigh,,,,mode_basket_hit,,,,100,700,800,,,Effect,,,,,true,150,250,,,,,,,,,,
BasketBallThreePointArea,,sc/effects_brawler.sc,range_dashed,range_dashed,range_dashed,,GroundHigh,,,,,,,,120,600000,1500,,,Effect,,,,,,,,,,,,true,,,,,
IceDudeGadgetActivationArea,,sc/effects_brawler.sc,,,,,GroundHigh,,,,gadget_lou_freeze,,,,100,700,800,,80,Stun,,,,,,,,,,,,,,,,,
GainedAmmoEffect,,sc/effects.sc,,,,,Above,,,,gadget_pam_ammo_gain,,,,100,1000,100,,,Effect,,,,,,,,,,,,,,,,,
LostAmmoEffect,,sc/effects.sc,,,,,Above,,,,gadget_pam_ammo_loss,,,,100,1000,100,,,Effect,,,,,,,,,,,,,,,,,
emz_area,,sc/effects.sc,,,,,GroundHigh,,,,gadget_spike_cactus_healburst,,,,125,250,1000,,,Pushback,,,,,,50,10,,true,,,,,,,,
emz_area1,,sc/effects.sc,,,,,GroundHigh,,,,gadget_spike_cactus_healburst,,,,125,250,1000,1200,,Damage,,,,,,50,10,,true,,,,,,,,
CactusCoverHeal,,sc/effects.sc,,,,,GroundHigh,,,,gadget_spike_cactus_healburst,,,,125,250,1000,-1000,,Heal,,,,,,,,,,,,,,,,,
RuffsAirStrikeSpawn,,sc/effects_brawler.sc,gadget_primo_meteor_target,gadget_primo_meteor_target,gadget_primo_meteor_target_red,,GroundHigh,gadget_ruffs_airstrike,gadget_ruffs_airstrike_red,,meteor_warning,,,,60,2500,800,,,Effect,,,,,,,,,,,,true,,,,RuffsAirStrikeExplosion,
RuffsAirStrikeExplosion,,sc/effects.sc,,,,,GroundHigh,,,,gadget_ruffs_airstrike_explosion,,,,85,200,500,,,Damage,,,,,,150,250,,,,,,,,,RuffsAirStrikeStun,
RuffExplosion,,sc/effects.sc,,,,,GroundHigh,,,,gadget_ruffs_airstrike_explosion,,,,85,700,500,1500,,Damage,,,,,,150,250,,,,,,,,,,
NinjaInvisibleArea,,sc/effects_brawler.sc,gadget_leon_lollipop_area,gadget_leon_lollipop_area,gadget_leon_lollipop_area_red,,GroundHigh,,,,gadget_leon_lollipop,gadget_leon_lollipop_loop,,,290,600000,1300,,,SmokeScreen,,,,,,,,,,,,,,,,,
RosaGadget2Slow,,sc/effects_brawler.sc,,,,,GroundHigh,,,,,,,,99999,1000,99999,,,Slow,,,,,,,,,,300,20,,,,,,
PocoShieldArea,,sc/effects.sc,range450_blue,range450_blue,range450_red,,GroundHigh,,,,gadget_poco_cleanse,,,,100,2500,600,50,15,ShieldBuff,,,,,,,,,,,,,,,,,
EdgarGadgetSuperCharge,,sc/effects_brawler.sc,,,,,GroundHigh,,,,,,,,10,8000,99999,,300,ChargeSuper,true,,,,,,,,,,,,,,,,
EnragerUltiSpeed,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,1000,500,200,50,SpeedBuff,true,,,,,,,,,,,,,,,,
LouUltiArea,,sc/effects_brawler.sc,lou_def_ulti_area_base,lou_def_ulti_area_base,lou_def_ulti_area_base_red,,GroundHigh,,,,lou_def_ulti_area,,,,250,10000,1100,,,Slow,,,,,,100,,20,,350,21,,,,,,
LouKingUltiArea,LouUltiArea,sc/effects_brawler.sc,lou_def_ulti_area_base,lou_def_ulti_area_base,lou_def_ulti_area_base_red,,GroundHigh,,,,lou_002_ulti_area,,,,250,10000,1100,,,Slow,,,,,,100,,20,,350,21,,,,,,
LouSmoothUltiArea,LouUltiArea,sc/effects_brawler.sc,lou_def_ulti_area_base,lou_def_ulti_area_base,lou_def_ulti_area_base_red,,GroundHigh,,,,lou_003_ulti_area,,,,250,10000,1100,,,Slow,,,,,,100,,20,,350,21,,,,,,
LouBurgerUltiArea,LouUltiArea,sc/effects_brawler.sc,lou_004_ulti_area_base,lou_004_ulti_area_base,lou_004_ulti_area_base_red,,GroundHigh,,,,lou_004_ulti_area,,,,250,10000,1100,,,Slow,,,,,,100,,20,,350,21,,,,,,
RuffsSupplySpawn,,sc/effects_brawler.sc,ruffs_def_ulti_target,ruffs_def_ulti_target,ruffs_def_ulti_target_red,,GroundHigh,ruffs_def_ulti_crate,ruffs_def_ulti_crate_red,,ruffs_def_ulti_beacon,,,,90,800,600,,,Effect,,,,,,,,,,,,true,,,,RuffsSupplyExplosion,
RuffsSupplyExplosion,,sc/effects.sc,,,,,GroundHigh,,,,gadget_primo_meteor,,,,118,100,700,,,Damage,,,,,,150,250,,,,,,,,,RuffsBuffSpawn,
RuffsBuffSpawn,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,1,700,,1,BulletExplosion,,,1,RuffsBuff,,,,,,,,,,,,,
RuffsIncreaseHealth,,sc/effects.sc,heal_area_effect_blue,heal_area_effect_blue,heal_area_effect_red,,GroundHigh,,,,,,,,100,500,1000,,,IncreaseHealth,,,,,,,,,,,,,,,,,
Ruffs002SupplySpawn,RuffsSupplySpawn,sc/effects_brawler.sc,ruffs_def_ulti_target,ruffs_def_ulti_target,ruffs_def_ulti_target_red,,GroundHigh,ruffs_002_ulti_crate,ruffs_002_ulti_crate_red,,ruffs_002_ulti_beacon,,,,90,800,600,,,Effect,,,,,,,,,,,,true,,,,RuffsSupplyExplosion,
Ruffs003SupplySpawn,RuffsSupplySpawn,sc/effects_brawler.sc,ruffs_def_ulti_target,ruffs_def_ulti_target,ruffs_def_ulti_target_red,,GroundHigh,ruffs_def_ulti_crate,ruffs_def_ulti_crate_red,,ruffs_003_ulti_beacon,,,,90,800,600,,,Effect,,,,,,,,,,,,true,,,,RuffsSupplyExplosion,
SpeedBoost,,sc/effects.sc,,,,,GroundHigh,,,,arcade_def_ulti_area_active,gadget_stu_speed,,,400,600000,2000,100,10,SpeedBuff,,,,,,,,,,,,,,,,,
RollerFire,,sc/effects.sc,,,,,GroundHigh,,,,stu_def_ulti_trail,,,,100,3000,300,,,SetOnFire,,,,,,,,,,,,,,,,,
AshInvisSpeed,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,1000,5000,200,30,SpeedBuff,true,,,,,,,,,,,,,,,,
KnightPetExplosion,,sc/effects.sc,,,,,GroundHigh,,,,bo_def_ulti2_explosion,,,,133,700,600,,,Damage,,,,,,,,,,,,,,,,,
AmberGadgetTrail,,sc/effects.sc,,,,,GroundHigh,,,,amber_def_ulti_oil_burning,,,,28,3900,300,700,,Dot,,,,,,,,,,,,,,,,,
PetrolDistributionArea,,sc/effects.sc,,,,,GroundHigh,,,,amber_def_ulti_hit,,,,150,500,800,,,PetrolDistribution,,,,,,,,,,,,,,,,,
PetrolFire,,sc/effects.sc,,,,,GroundHigh,,,,amber_def_ulti_oil_burning,,,,70,500,300,700,,SetOnFire,,,,,,,,,,,,,,,,,
SnakeOilUltiExplosion,,sc/effects.sc,,,,,GroundHigh,,,,byron_def_ulti_hit,,,,160,500,800,1500,,HealAndDamage,,,,,,,,,,,,,,,,,
SnakeOilWizardUltiExplosion,SnakeOilUltiExplosion,sc/effects.sc,,,,,GroundHigh,,,,byron_002_ulti_hit,,,,160,500,800,1500,,HealAndDamage,,,,,,,,,,,,,,,,,
PullRopeStun,,sc/effects.sc,,,,,GroundHigh,,,,buzz_def_ulti_explosion,,,,150,700,700,,33,Stun,,,,,,,,,,,,,,,,,
PullRopeStun002,PullRopeStun,sc/effects.sc,,,,,GroundHigh,,,,buzz_002_ulti_explosion,,,,150,700,700,,33,Stun,,,,,,,,,,,,,,,,,
BuzzGadgetSuperCharge,,sc/effects_brawler.sc,,,,,GroundHigh,,,,,,,,10,100,1000,,9999,ChargeSuper,true,,,,,,,,,,,,,,,,
RopeDudeSuperChargeArea,,sc/effects_brawler.sc,range_dashed,range_dashed,range_dashed_red,,GroundHigh,,,,explosion_barkeep_wizard,,,,132,600000,1800,,270,ChargeSuper,true,,,,,,,,,,,,,true,,,
MechaDudeDestroyExplosion,,sc/effects_brawler.sc,,,,,GroundHigh,,,,explosion_generic_big,,,,165,700,800,1000,,Damage,,,,,,150,250,,,,,,,,,,
CrossBomberClusterExplosion,,sc/effects.sc,,,,,GroundHigh,,,,crossbomber_def_explosion,,,,100,700,,,4,BulletExplosion,,CrossBomberProjectile2,10,,,,,,,,,,,,,,
CrossBomberUltiClusterExplosion,,sc/effects.sc,,,,,GroundHigh,,,,crossbomber_def_explosion_ulti,,,,100,700,,,4,BulletExplosion,,CrossBomberUltiProjectile2,17,,,,,,,,,,,,,,
CrossBomberClusterExplosionGadget,,sc/effects.sc,,,,,GroundHigh,,,,crossbomber_def_explosion,,,,100,700,,,8,BulletExplosion,,CrossBomberProjectile2,10,,,,,,,,,,,,,,
AshGadgetCharge,,sc/effects_brawler.sc,,,,,GroundHigh,,,,,,,,10,100,1000,,2000,ChargeSuper,true,,,,,,,,,,,,,,,,
KickerDudeGadgetExplosion,,sc/effects.sc,,,,,GroundHigh,,,,fang_def_atk_explode,,,,100,700,800,,3,BulletExplosion,,,,6,KickerDudeMine,,,,,,,,,,,,
KickerDudeMineExplosion,,sc/effects.sc,,,,,GroundHigh,,,,fang_def_ultiExp_blue,,,,100,700,468,99,,Damage,,,,,,,,,,,,,,,,,
KickerDudeSweepStun,,sc/effects.sc,,,,,GroundHigh,,,,gadget_fang_sweep,,,,100,300,700,,10,Stun,,,,,,,,,,,,,,,,true,
RuffShield,,sc/effects.sc,,,,,GroundHigh,,,,,,,,125,600000,300,25,20,ShieldBuff,,,,,,,,,,,,,,,,,
CrossBomberVisionArea,,sc/effects_brawler.sc,range_dashed,range_dashed,range_dashed_red,,GroundHigh,,,,,,,,240,600000,3000,,200,ChargeSuper,,,,,,,,,,,,,,,,,
CannonGirlSmallExplosion,,sc/effects.sc,,,,,GroundHigh,,,,cannon_def_explosion_blue,,,,70,350,200,,,Damage,,,,,,,,,,,,,,,,,
CannonGirlExplosion,,sc/effects_brawler.sc,,,,,GroundHigh,,,,bonnie_def_ulti_explosion,,,,100,700,200,,,Effect,,,,,,,,,,,,,,,,,
Bonnie002SmallExplosion,CannonGirlSmallExplosion,sc/effects.sc,,,,,GroundHigh,,,,bonnie_002_atk_small_hit,,,,70,350,200,,,Damage,,,,,,,,,,,,,,,,,
Bonnie002GirlExplosion,CannonGirlExplosion,sc/effects_brawler.sc,,,,,GroundHigh,,,,bonnie_002_ulti_explosion,,,,165,700,800,1200,,Damage,,,,,,,,,,,,,,,,,
JetpackGirlGadgetDamageArea,,sc/effects_brawler.sc,janet_ground,janet_ground,janet_ground_red,,GroundHigh,,,,,janet_def_gadget_sound,,,230,600000,2400,100,,Dot,,,,,,,,,,,,,,,,,
JetpackGirlUltiExplosion,,sc/effects_brawler.sc,,,,,GroundHigh,,,,brock_def_explosion_blue,,,,100,700,600,,,Damage,,,,,,,,,,,150,,,,,,
JetpackGirl002UltiExplosion,JetpackGirlUltiExplosion,sc/effects_brawler.sc,,,,,GroundHigh,,,,brock_def_explosion_blue,,,,100,700,600,,,Damage,,,,,,,,,,,150,,,,,,
BonnieTeethExplosion,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,700,300,,4,BulletExplosion,,CannonGirlChainProjectile,5,,,,,,,,,,,,,,
HatchlingExplosion,,sc/effects.sc,,,,,GroundHigh,,,,brock_def_ultiExp_blue,,,,100,700,468,1120,,Damage,,,,,,,,,,,,,,,,,
RuffsAirStrikeStun,,sc/effects.sc,,,,,GroundHigh,,,,,,,,150,700,555,,20,Stun,,,,,,,,,,,,,,,,,
FleaEggJump,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,500,500,,20,Stun,,,,,,,,,,,,,,,,,
SilencerHuggerSpawn,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,1,700,,1,BulletExplosion,,,0,SilencerHugger,,,,,,,,,,,,,
Silencer002HuggerSpawn,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,1,700,,1,BulletExplosion,,,0,Silencer002Hugger,,,,,,,,,,,,,
SilencerUltiArea,,sc/effects_brawler.sc,,,,,GroundHigh,,,,explosion_tnt_dude,,,,100,700,450,,,Damage,,,,,,,150,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KingOfHillAreaMDYS,,sc/effects_brawler.sc,area_mode_koh,area_mode_koh,area_mode_koh,area_mode_koh,GroundHigh,,,,,,,,180,600000,1000,,,Slow,,,,,,,,,,325,20,true,,,,,
KingOfHillAreaCaptureMDYS,,sc/effects_brawler.sc,,,,,GroundHigh,,,,mode_koh_capturing_snow,,true,,100,600000,1000,,,Slow,,,,,,,,,,325,20,true,,,,,
KingOfHillAreaGaugeMDYS,,sc/effects_brawler.sc,area_mode_koh_captureGauge,area_mode_koh_captureGauge,area_mode_koh_captureGauge_red,,GroundHigh,,,,,,,true,180,600000,1000,,,Slow,,,,,,,,,,325,20,true,,,,,
KingOfHillAreaCompleteMDYS,,sc/effects_brawler.sc,,,,,GroundHigh,,,,mode_koh_capturing_snow,mode_koh_complete_snow,,,100,600000,1000,,,Slow,,,,,,,,,,325,20,true,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LaserBlackHole,,sc/effects.sc,,,,,GroundHigh,,,,,Portal,,,235,1000,1200,600,,Pushback,,,,,,-300,,500,,350,31,,,,,LaserBlackHole2,
LaserBlackHole2,,sc/effects.sc,range450_blue,range450_blue,range450_red,,GroundHigh,,,,PortalExplo,,,,100,300,500,700,,Damage,,,,,true,450,,,,,,,,,,,
LaserBlueHeadSpawn,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,700,300,,1,BulletExplosion,,BlueLaserHead,1,,,,,,,,,,,,,,
LaserBlueDeath,,sc/effects_brawler.sc,,,,,GroundHigh,,,,explosion_tnt_dude_ulti,,,,165,700,800,,,Damage,,,,,true,150,250,,,,,,,,,LaserBlueHeadSpawn,
SansUltiArea,,sc/effects.sc,,,,,GroundHigh,,,,driller_def_attack,,,,100,300,1000,1200,,Damage,,,,,,,,,,,,,,,,RingOfBonesUlti2,
SansUltiAreaSpawn2,,sc/effects.sc,,,,,GroundHigh,,,,BlastersUlti_trigerred,,,,100,700,300,,4,BulletExplosion,,SansLaserUlti,90,,,,,,,,,,,,,,
SansProjUlti,,sc/effects.sc,,,,,GroundHigh,,,,,sans_ulti_ring,,,140,3000,400,,,Dot,,,,,true,150,250,,,350,31,,true,,,SansWarning,
SansWarning,,sc/effects.sc,,,,,GroundHigh,,,,,sans_ulti_warning,,,140,600,400,,,Effect,,,,,,,,,,,,,,,,SansUltiAreaSpawn2,
RingOfBonesUlti2,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,700,300,,15,BulletExplosion,,SansUltiMega,40,,,,,,,,,,,,,,
SansBone,,sc/effects.sc,,,,,GroundHigh,,,,,bones_ring,,,55,3000,500,,,Dot,,,,,true,150,250,,,350,31,,true,,,SniperBombExplosion,
RingOfBones,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,700,300,,20,BulletExplosion,,SansBones,25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barley_skunk_atk,,sc/effects.sc,,,,,GroundHigh,,,,barkeep_stench_area,,,,55,1900,600,,,Dot,,,,,,,,,,,,,,,,,
Barley_skunk_ulti,,sc/effects.sc,,,,,GroundHigh,,,,barkeep_stench_area_ulti,,,,55,3900,600,,,Dot,,,,,,,,,,,,,1000,,,,
bobUltiKnifes,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,700,300,,14,BulletExplosion,,CactusProjectile,22,,,,,,,,,,,,,,
MastarrCubeSpawn,,sc/effects.sc,,,,,GroundHigh,,,,,,,,100,1,200,,1,BulletExplosion,,,1,MasterBuff,,,,,,,,,,,,,
CrowUltiKnifesWithBibi,,sc/effects.sc,,,,,GroundHigh,,,,,,,,80,700,300,,14,BulletExplosion,,SniperHomingProjectile,400,,,,,,,,,,,,,,
